Word,e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
basil,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.003111359238831184,0.0
basin,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.006002984098634683,0.0
basis,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.045253395366772774,0.3333333333333333
baste,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010814482906882547,0.0
batch,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003407314132200334,0.0
bathe,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0009766026309225607,0.0
baton,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.001083340461317992,0.0
batty,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017267269926242703,0.3333333333333333
bawdy,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633817533328525,0.0
bayou,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00041428833352117575,0.0
beach,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016143077986200644,0.0
beady,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025854813553511486,0.0
beard,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00527522616412038,0.0
beast,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00838032668471474,0.0
beech,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007631269701316985,0.3333333333333333
beefy,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021100128381351367,0.3333333333333333
befit,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.9142461478195715e-05,0.0
began,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09301566343699016,0.0
begat,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005350961506505502,0.0
beget,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025272607205900036,0.3333333333333333
begin,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.03496774989230396,0.0
begun,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013232046248143428,0.0
being,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.29311513339147954,0.0
belch,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015423616492139802,0.0
belie,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00016199891622288394,0.3333333333333333
belle,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026601493194323158,0.6666666666666666
belly,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007312948380760429,0.3333333333333333
below,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.054645839269614374,0.0
bench,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007361465576394716,0.0
beret,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00022798230228551408,0.3333333333333333
berry,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0028542181019694636,0.3333333333333333
berth,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.000816495885329414,0.0
beset,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008456062027099862,0.3333333333333333
betel,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017218752730608418,0.3333333333333333
bevel,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023574505358700003,0.3333333333333333
bezel,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47868292697837e-05,0.3333333333333333
bible,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06492954405625782,0.3333333333333333
bicep,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00023865608532505723,0.0
biddy,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0004007035187435754,0.3333333333333333
bigot,0.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00015083996122699795,0.0
bilge,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0001595730564411696,0.0
billy,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00745849996766329,0.3333333333333333
binge,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.000879568239653987,0.0
bingo,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0006418339810459813,0.0
biome,0.3333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00016102857231019822,0.0
birch,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0015588089785340035,0.0
birth,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.026331689069400886,0.0
bison,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0007000546158071255,0.0
bitty,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00010863000102516835,0.3333333333333333
black,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10854359189974368,0.0
blade,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007992189119640445,0.0
blame,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01133987561840624,0.0
bland,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0014278125503214287,0.0
blank,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008816981445423321,0.0
blare,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001484141014452836,0.0
blast,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00449895103397179,0.0
blaze,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001922687945791155,0.0
bleak,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016801019676197207,0.0
bleat,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14603714699677e-05,0.0
bleed,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014278125503214287,0.3333333333333333
bleep,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.380556995842416e-05,0.3333333333333333
blend,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042126995797294965,0.0
bless,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004620244023057506,0.3333333333333333
blimp,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.350900908528154e-05,0.0
blind,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.013280563443777716,0.0
blink,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0023156772304288786,0.0
bliss,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0028493663824060347,0.3333333333333333
